Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_Actual_Units,EU_Sales_Actual_Units,JP_Sales_Actual_Units,Other_Sales_Actual_Units,Global_Sales_Actual_Units,Critic_Score,Critic_Count,User_Score,User_Count,Average_Score,Developer,Developer_Copied,Rating
Iron Man 2,PSP,2010,Action,Sega,0.18,0.12,0,0.07,0.38,"180,000","120,000",0,"70,000","380,000",49,8,,,49.0,High Voltage Software,High Voltage Software,T
WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,THQ,0.24,0.07,0,0.07,0.38,"240,000","70,000",0,"70,000","380,000",,,7.8,12,78.0,Yuke's,Yuke's,T
Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,0.12,0.2,0,0.05,0.37,"120,000","200,000",0,"50,000","370,000",86,14,6.7,556,67.5,Criterion Games,Criterion Games,E10+
EA Sports MMA,PS3,2010,Fighting,Electronic Arts,0.16,0.14,0.01,0.06,0.37,"160,000","140,000","10,000","60,000","370,000",77,47,6.9,38,73.4,EA Tiburon,EA Tiburon,T
Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft,0.09,0.18,0.01,0.1,0.37,"90,000","180,000","10,000","100,000","370,000",65,10,7.4,14,70.3,Ubisoft Quebec,Ubisoft Quebec,T
Green Day: Rock Band,Wii,2010,Misc,MTV Games,0.22,0.11,0,0.03,0.36,"220,000","110,000",0,"30,000","360,000",76,12,8.8,11,81.7,Harmonix Music Systems,Harmonix Music Systems,T
Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,0.24,0.09,0.01,0.03,0.36,"240,000","90,000","10,000","30,000","360,000",68,57,6.3,29,66.3,Ubisoft,Ubisoft,T
Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,0.24,0.08,0,0.03,0.36,"240,000","80,000",0,"30,000","360,000",76,68,7.6,96,76.0,Beenox,Beenox,T
Dark Void,PS3,2010,Action,Capcom,0.18,0.12,0,0.05,0.35,"180,000","120,000",0,"50,000","350,000",59,50,6,36,59.4,Airtight Games,Airtight Games,T
EA Sports MMA,X360,2010,Fighting,Electronic Arts,0.23,0.09,0,0.02,0.35,"230,000","90,000",0,"20,000","350,000",79,63,7,55,74.8,EA Tiburon,EA Tiburon,T
SpongeBob's Boating Bash,Wii,2010,Misc,THQ,0.24,0.07,0,0.03,0.34,"240,000","70,000",0,"30,000","340,000",,,7.6,5,76.0,Impulse Games,Impulse Games,E
Supreme Commander 2,X360,2010,Strategy,Square Enix,0.23,0.09,0,0.03,0.34,"230,000","90,000",0,"30,000","340,000",75,28,7.1,23,73.2,Gas Powered Games,Gas Powered Games,E10+
Racquet Sports,PS3,2010,Sports,Ubisoft,0.11,0.17,0,0.06,0.34,"110,000","170,000",0,"60,000","340,000",45,17,4.3,8,44.4,Asobo Studio,Asobo Studio,E
The Shoot,PS3,2010,Shooter,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34,"130,000","150,000","10,000","50,000","340,000",60,39,6.2,11,60.4,Cohort Studios,Cohort Studios,T
Iron Man 2,DS,2010,Action,Sega,0.14,0.16,0,0.03,0.33,"140,000","160,000",0,"30,000","330,000",54,7,,,54.0,Sega Studios San Francisco,Sega Studios San Francisco,E10+
Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision,0.26,0.04,0,0.03,0.33,"260,000","40,000",0,"30,000","330,000",60,4,5.4,9,55.8,Activision,Activision,T
Resonance of Fate,X360,2010,Role-Playing,Sega,0.12,0.13,0.06,0.03,0.33,"120,000","130,000","60,000","30,000","330,000",74,43,7.7,96,76.1,Tri-Ace,Tri-Ace,T
Def Jam Rapstar,Wii,2010,Misc,Konami Digital Entertainment,0.29,0.02,0,0.02,0.33,"290,000","20,000",0,"20,000","330,000",65,5,,,65.0,"Terminal Reality, 4mm Games","Terminal Reality, 4mm Games",T
DECA Sports Freedom,X360,2010,Sports,Hudson Soft,0.27,0.04,0,0.02,0.33,"270,000","40,000",0,"20,000","330,000",26,16,3.7,9,30.0,AI,AI,E10+
Iron Man 2,Wii,2010,Action,Sega,0.15,0.15,0,0.03,0.32,"150,000","150,000",0,"30,000","320,000",41,11,4.6,12,43.6,High Voltage Software,High Voltage Software,T
Def Jam Rapstar,PS3,2010,Misc,Konami Digital Entertainment,0.25,0.04,0,0.03,0.32,"250,000","40,000",0,"30,000","320,000",75,25,6.3,4,73.3,"Terminal Reality, 4mm Games","Terminal Reality, 4mm Games",T
Army of Two: The 40th Day,PSP,2010,Shooter,Electronic Arts,0.12,0.13,0,0.08,0.32,"120,000","130,000",0,"80,000","320,000",49,11,6,32,57.2,"Buzz Monkey, EA Montreal","Buzz Monkey, EA Montreal",M
Cabela's Dangerous Hunts 2011,X360,2010,Sports,Activision,0.28,0.01,0,0.02,0.32,"280,000","10,000",0,"20,000","320,000",55,7,,,55.0,Activision,Activision,T
Lord of Arcana,PSP,2010,Role-Playing,Square Enix,0.07,0.04,0.17,0.03,0.32,"70,000","40,000","170,000","30,000","320,000",53,45,5.5,21,53.6,Access Games,Access Games,M
BlazBlue: Continuum Shift,X360,2010,Fighting,PQube,0.23,0.04,0.02,0.02,0.31,"230,000","40,000","20,000","20,000","310,000",85,32,8.7,26,85.9,Arc System Works,Arc System Works,T
Etrian Odyssey III: The Drowned City,DS,2010,Role-Playing,Atlus,0.12,0,0.19,0.01,0.31,"120,000",0,"190,000","10,000","310,000",77,23,8,21,78.4,Atlus,Atlus,E10+
Fate/Extra,PSP,2010,Role-Playing,Marvelous Interactive,0.18,0.01,0.1,0.03,0.31,"180,000","10,000","100,000","30,000","310,000",58,10,8.1,39,76.3,"Image Epoch, Imageepoch","Image Epoch, Imageepoch",T
The Settlers 7: Paths to a Kingdom,PC,2010,Strategy,Ubisoft,0,0.27,0,0.05,0.31,0,"270,000",0,"50,000","310,000",79,33,5.2,213,55.6,Blue Byte,Blue Byte,E10+
Dark Void,X360,2010,Action,Capcom,0.19,0.09,0,0.03,0.31,"190,000","90,000",0,"30,000","310,000",59,69,6,61,59.5,Airtight Games,Airtight Games,T
Clash of the Titans,PS3,2010,Action,Namco Bandai Games,0.09,0.15,0.01,0.05,0.31,"90,000","150,000","10,000","50,000","310,000",41,28,1.7,17,31.9,Game Republic,Game Republic,T
Mega Man Zero Collection,DS,2010,Platform,Capcom,0.17,0.01,0.11,0.02,0.31,"170,000","10,000","110,000","20,000","310,000",78,15,8.9,39,85.9,"Inti, Inti Creates","Inti, Inti Creates",E
TRON: Evolution,X360,2010,Action,Disney Interactive Studios,0.24,0.05,0,0.02,0.31,"240,000","50,000",0,"20,000","310,000",58,51,6,41,58.9,Propaganda Games,Propaganda Games,T
Silent Hill: Shattered Memories,PSP,2010,Action,Konami Digital Entertainment,0.09,0.13,0.01,0.07,0.3,"90,000","130,000","10,000","70,000","300,000",73,28,7.5,43,74.2,"Climax Group, Climax Studios","Climax Group, Climax Studios",M
Radiant Historia,DS,2010,Role-Playing,Atlus,0.19,0,0.09,0.01,0.29,"190,000",0,"90,000","10,000","290,000",85,30,9,81,88.6,Atlus,Atlus,E10+
Batman: The Brave and the Bold the Videogame,DS,2010,Action,Warner Bros. Interactive Entertainment,0.23,0.04,0,0.02,0.29,"230,000","40,000",0,"20,000","290,000",74,14,8,8,76.2,WayForward,WayForward,E10+
Def Jam Rapstar,X360,2010,Misc,Konami Digital Entertainment,0.25,0.02,0,0.02,0.29,"250,000","20,000",0,"20,000","290,000",74,36,5.4,9,70.0,"Terminal Reality, 4mm Games","Terminal Reality, 4mm Games",T
MySims SkyHeroes,Wii,2010,Action,Electronic Arts,0.16,0.1,0,0.03,0.29,"160,000","100,000",0,"30,000","290,000",67,9,5.2,5,61.6,Electronic Arts,Electronic Arts,E10+
Invizimals: Shadow Zone,PSP,2010,Strategy,Sony Computer Entertainment,0.05,0.16,0,0.08,0.29,"50,000","160,000",0,"80,000","290,000",,,9,4,90.0,Novarama,Novarama,E10+
ExerBeat,Wii,2010,Sports,Namco Bandai Games,0.1,0.16,0,0.03,0.29,"100,000","160,000",0,"30,000","290,000",60,9,7.6,5,65.7,Namco Bandai Games,Namco Bandai Games,E
Front Mission Evolved,PS3,2010,Shooter,Square Enix,0.09,0.06,0.11,0.03,0.29,"90,000","60,000","110,000","30,000","290,000",58,42,6,30,58.8,Double Helix Games,Double Helix Games,T
NieR,X360,2010,Role-Playing,Square Enix,0.13,0.1,0.04,0.02,0.29,"130,000","100,000","40,000","20,000","290,000",67,60,8.3,126,77.8,Cavia Inc.,Cavia Inc.,M
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,"60,000","50,000","150,000","30,000","290,000",71,30,7.2,12,71.3,Project Aces,Project Aces,T
Sengoku Basara: Samurai Heroes,Wii,2010,Action,Capcom,0.06,0.01,0.2,0.01,0.29,"60,000","10,000","200,000","10,000","290,000",65,18,8.8,13,74.6,Capcom,Capcom,T
Majin and the Forsaken Kingdom,PS3,2010,Adventure,Namco Bandai Games,0.09,0.13,0.01,0.05,0.29,"90,000","130,000","10,000","50,000","290,000",72,49,7.9,35,74.9,Game Republic,Game Republic,T
Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,"100,000","120,000","20,000","50,000","280,000",60,44,5.9,27,59.6,Volatile Games,Volatile Games,M
Tony Hawk: Shred,PS3,2010,Sports,Activision,0.18,0.06,0,0.04,0.28,"180,000","60,000",0,"40,000","280,000",56,5,6.7,6,62.0,Robomodo,Robomodo,E
Monopoly Streets,X360,2010,Misc,Electronic Arts,0.16,0.09,0,0.02,0.28,"160,000","90,000",0,"20,000","280,000",66,18,6.6,16,66.0,Electronic Arts,Electronic Arts,E
Iron Man 2,X360,2010,Action,Sega,0.15,0.09,0,0.03,0.27,"150,000","90,000",0,"30,000","270,000",41,35,5.9,54,51.9,Sega Studios San Francisco,Sega Studios San Francisco,T
EyePet,PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0,0.09,0.27,"20,000","170,000",0,"90,000","270,000",57,19,,,57.0,SCEE London Studio,SCEE London Studio,E
Transformers: Cybertron Adventures,Wii,2010,Action,Activision,0.14,0.1,0,0.02,0.27,"140,000","100,000",0,"20,000","270,000",41,15,6.5,8,49.3,Next Level Games,Next Level Games,T
NHL 2K11,Wii,2010,Sports,Take-Two Interactive,0.23,0.02,0,0.02,0.27,"230,000","20,000",0,"20,000","270,000",62,12,5.8,4,61.0,Visual Concepts,Visual Concepts,E10+
Rapala Pro Bass Fishing 2010,PS3,2010,Sports,Activision,0.18,0.05,0,0.03,0.27,"180,000","50,000",0,"30,000","270,000",,,8.5,4,85.0,FUN Labs,FUN Labs,E
R.U.S.E.,PC,2010,Strategy,Ubisoft,0.04,0.19,0,0.04,0.27,"40,000","190,000",0,"40,000","270,000",76,33,8.1,176,80.2,Eugen Systems,Eugen Systems,T
Beyblade: Metal Masters,DS,2010,Action,Konami Digital Entertainment,0.14,0.09,0,0.03,0.27,"140,000","90,000",0,"30,000","270,000",65,4,,,65.0,Amble,Amble,E
R.U.S.E.,X360,2010,Strategy,Ubisoft,0.12,0.11,0,0.02,0.27,"120,000","110,000",0,"20,000","270,000",78,45,7,38,74.3,Eugen Systems,Eugen Systems,T
Plants vs. Zombies,X360,2010,Strategy,PopCap Games,0.24,0,0,0.02,0.26,"240,000",0,0,"20,000","260,000",89,27,8.2,160,83.0,PopCap,PopCap,E10+
America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,Nintendo,0.25,0,0,0.02,0.26,"250,000",0,0,"20,000","260,000",87,4,5.6,9,65.5,Indies Zero,Indies Zero,E
Deadly Premonition,X360,2010,Action,Rising Star Games,0.18,0.06,0,0.02,0.26,"180,000","60,000",0,"20,000","260,000",68,39,8.2,332,80.5,Access Games,Access Games,M
Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010,Action,THQ,0.21,0.04,0,0.02,0.26,"210,000","40,000",0,"20,000","260,000",49,6,,,49.0,THQ,THQ,E10+
Major League Baseball 2K10,Wii,2010,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,"240,000",0,0,"20,000","260,000",53,4,,,53.0,Visual Concepts,Visual Concepts,E
Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,Fighting,Namco Bandai Games,0.11,0.03,0.09,0.03,0.26,"110,000","30,000","90,000","30,000","260,000",63,22,8.6,20,74.0,Spike,Spike,T
Tony Hawk: Shred,X360,2010,Sports,Activision,0.17,0.06,0,0.02,0.26,"170,000","60,000",0,"20,000","260,000",53,10,6.6,10,59.5,Robomodo,Robomodo,E
Silent Hunter 5: Battle of the Atlantic,PC,2010,Simulation,Ubisoft,0,0.21,0,0.05,0.25,0,"210,000",0,"50,000","250,000",62,26,3.5,104,40.4,Ubisoft Romania,Ubisoft Romania,T
Prison Break: The Conspiracy,PS3,2010,Action,Deep Silver,0.05,0.15,0,0.05,0.25,"50,000","150,000",0,"50,000","250,000",42,33,3.8,20,40.5,ZootFly,ZootFly,T
Minute to Win It,Wii,2010,Misc,Zoo Games,0.23,0,0,0.02,0.25,"230,000",0,0,"20,000","250,000",,,3,4,30.0,Smack Down Productions,Smack Down Productions,E
Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,0.21,0.02,0,0.02,0.25,"210,000","20,000",0,"20,000","250,000",64,5,6.6,5,65.0,Ubisoft,Ubisoft,E10+
Monster Jam: Path of Destruction,PS3,2010,Racing,Activision,0.21,0.02,0,0.02,0.25,"210,000","20,000",0,"20,000","250,000",,,6.3,4,63.0,Virtuos,Virtuos,E
TV Superstars,PS3,2010,Misc,Sony Computer Entertainment,0.07,0.12,0,0.05,0.25,"70,000","120,000",0,"50,000","250,000",56,17,4.9,8,53.8,SCE Studio Cambridge,SCE Studio Cambridge,E
Create,Wii,2010,Action,Electronic Arts,0.2,0.02,0,0.02,0.25,"200,000","20,000",0,"20,000","250,000",62,7,,,62.0,EA Bright Light,EA Bright Light,E
Racquet Sports,Wii,2010,Sports,Ubisoft,0.13,0.09,0,0.02,0.24,"130,000","90,000",0,"20,000","240,000",51,8,8.6,15,73.8,Asobo Studio,Asobo Studio,E
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,D3Publisher,0.12,0.08,0,0.04,0.24,"120,000","80,000",0,"40,000","240,000",,,8.6,5,86.0,Papaya Studios,Papaya Studios,E10+
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,Activision,0.22,0.01,0,0.02,0.24,"220,000","10,000",0,"20,000","240,000",56,6,6.9,12,64.7,Griptonite Games,Griptonite Games,E10+
Metro 2033,PC,2010,Shooter,THQ,0,0.19,0,0.05,0.24,0,"190,000",0,"50,000","240,000",81,40,8.1,1472,81.0,4A Games,4A Games,M
Spider-Man: Shattered Dimensions,Wii,2010,Action,Activision,0.12,0.09,0,0.02,0.24,"120,000","90,000",0,"20,000","240,000",75,13,7.7,15,76.1,Beenox,Beenox,T
Pure Futbol,PS3,2010,Sports,Ubisoft,0.06,0.13,0,0.04,0.24,"60,000","130,000",0,"40,000","240,000",46,12,7.5,30,66.7,Ubisoft Vancouver,Ubisoft Vancouver,E
Dood's Big Adventure,Wii,2010,Platform,THQ,0.21,0.01,0,0.02,0.24,"210,000","10,000",0,"20,000","240,000",56,4,,,56.0,THQ,THQ,E
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,"80,000","10,000","130,000","10,000","240,000",61,27,5.4,101,55.5,Gust,Gust,M
Prince of Persia: The Forgotten Sands,Wii,2010,Action,Ubisoft,0.1,0.11,0,0.02,0.23,"100,000","110,000",0,"20,000","230,000",77,24,8.1,31,79.3,Ubisoft Quebec,Ubisoft Quebec,T
The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.17,0.05,0,0.02,0.23,"170,000","50,000",0,"20,000","230,000",58,21,7.8,5,61.8,Headstrong Games,Headstrong Games,T
Sherlock Holmes and the Mystery of Osborne House,DS,2010,Adventure,Focus Home Interactive,0.07,0.14,0,0.03,0.23,"70,000","140,000",0,"30,000","230,000",48,11,,,48.0,Frogwares,Frogwares,E10+
TrackMania: Build to Race,Wii,2010,Racing,Focus Home Interactive,0.09,0.11,0,0.02,0.23,"90,000","110,000",0,"20,000","230,000",74,17,6.8,5,72.6,Firebrand Games,Firebrand Games,E
Deca Sports 3,Wii,2010,Sports,Hudson Soft,0.14,0.07,0,0.02,0.23,"140,000","70,000",0,"20,000","230,000",41,7,,,41.0,"Hudson, NATSUME ATARI Inc.","Hudson, NATSUME ATARI Inc.",E
pro evolution soccer 2011,Wii,2010,Sports,Konami Digital Entertainment,0.07,0.1,0.03,0.02,0.22,"70,000","100,000","30,000","20,000","220,000",78,9,5.4,7,67.5,Konami,Konami,E
MotoGP 09/10,PS3,2010,Racing,Capcom,0.05,0.13,0,0.04,0.22,"50,000","130,000",0,"40,000","220,000",70,42,5.4,28,63.6,Monumental Games,Monumental Games,E
All Star Karate,Wii,2010,Action,THQ,0.13,0.07,0,0.02,0.22,"130,000","70,000",0,"20,000","220,000",46,4,,,46.0,THQ,THQ,E10+
Worms: Battle Islands,Wii,2010,Strategy,THQ,0.1,0.1,0,0.02,0.22,"100,000","100,000",0,"20,000","220,000",58,13,,,58.0,Team 17,Team 17,E10+
Hot Shots Tennis: Get a Grip,PSP,2010,Sports,Sony Computer Entertainment,0.07,0,0.13,0.01,0.21,"70,000",0,"130,000","10,000","210,000",80,27,8,17,80.0,Clap Hanz,Clap Hanz,E
Star Wars: The Force Unleashed II,DS,2010,Action,LucasArts,0.17,0.03,0,0.02,0.21,"170,000","30,000",0,"20,000","210,000",43,5,4,5,41.5,LucasArts,LucasArts,T
SBK X: Superbike World Championship,PS3,2010,Racing,Black Bean Games,0.05,0.12,0,0.04,0.21,"50,000","120,000",0,"40,000","210,000",73,4,7.5,4,74.0,Milestone S.r.l,Milestone S.r.l,E10+
UFC Undisputed 2010,PSP,2010,Fighting,THQ,0.11,0.06,0,0.04,0.21,"110,000","60,000",0,"40,000","210,000",74,27,7,13,72.7,Yuke's,Yuke's,T
Greg Hastings Paintball 2,X360,2010,Shooter,Majesco Entertainment,0.19,0,0,0.01,0.21,"190,000",0,0,"10,000","210,000",,,8.3,7,83.0,Super X Studios,Super X Studios,E10+
Prison Break: The Conspiracy,X360,2010,Action,Deep Silver,0.07,0.11,0,0.02,0.21,"70,000","110,000",0,"20,000","210,000",40,37,4.7,19,42.4,ZootFly,ZootFly,T
The Last Airbender,Wii,2010,Action,THQ,0.12,0.07,0,0.02,0.21,"120,000","70,000",0,"20,000","210,000",53,4,6.6,5,60.2,THQ,THQ,T
MLB 10: The Show,PSP,2010,Sports,Sony Computer Entertainment,0.19,0,0,0.02,0.21,"190,000",0,0,"20,000","210,000",79,11,6.6,8,73.5,SCEA,SCEA,E
Dead to Rights: Retribution,X360,2010,Shooter,Namco Bandai Games,0.11,0.08,0,0.02,0.21,"110,000","80,000",0,"20,000","210,000",61,64,7,34,64.1,Volatile Games,Volatile Games,M
Kung Fu Rider,PS3,2010,Action,Sony Computer Entertainment,0.06,0.09,0.01,0.03,0.2,"60,000","90,000","10,000","30,000","200,000",36,45,3.7,21,36.3,SCE Japan Studio,SCE Japan Studio,E10+
DarkStar One: Broken Alliance,X360,2010,Simulation,Kalypso Media,0.11,0.07,0,0.02,0.2,"110,000","70,000",0,"20,000","200,000",63,33,7.2,19,66.3,Gaming Minds Studios,Gaming Minds Studios,T
Body and Brain Connection,X360,2010,Misc,Namco Bandai Games,0.1,0.08,0,0.02,0.2,"100,000","80,000",0,"20,000","200,000",57,33,4.8,4,56.0,Namco Bandai Games,Namco Bandai Games,E
Front Mission Evolved,X360,2010,Shooter,Square Enix,0.1,0.07,0.02,0.02,0.2,"100,000","70,000","20,000","20,000","200,000",58,52,6.1,24,58.9,Double Helix Games,Double Helix Games,T
Apache: Air Assault,PS3,2010,Simulation,Activision,0.11,0.06,0,0.03,0.2,"110,000","60,000",0,"30,000","200,000",66,17,6.1,12,63.9,Gaijin Entertainment,Gaijin Entertainment,T
Solatorobo: Red the Hunter,DS,2010,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.2,"80,000","40,000","70,000","10,000","200,000",76,40,7.9,23,77.1,CyberConnect2,CyberConnect2,E10+
No More Heroes: Heroes' Paradise,PS3,2010,Action,Konami Digital Entertainment,0.1,0.04,0.04,0.02,0.19,"100,000","40,000","40,000","20,000","190,000",72,38,7.3,38,72.5,FeelPlus,FeelPlus,M
Aliens vs Predator,PC,2010,Shooter,Sega,0,0.17,0,0.02,0.19,0,"170,000",0,"20,000","190,000",68,35,7.4,985,73.8,Rebellion,Rebellion,M
DanceMasters,X360,2010,Misc,Konami Digital Entertainment,0.15,0.02,0.02,0.01,0.19,"150,000","20,000","20,000","10,000","190,000",63,30,5.9,7,62.2,GCP1,GCP1,E10+
Shrek: Forever After,PS3,2010,Platform,Activision,0.16,0.02,0,0.02,0.19,"160,000","20,000",0,"20,000","190,000",57,11,4.5,6,52.8,Xpec,Xpec,E10+
Supreme Commander 2,PC,2010,Strategy,Square Enix,0,0.15,0,0.04,0.19,0,"150,000",0,"40,000","190,000",77,54,6.2,803,62.9,Gas Powered Games,Gas Powered Games,E10+
Quantum Theory,PS3,2010,Shooter,Tecmo Koei,0.05,0.09,0.02,0.03,0.19,"50,000","90,000","20,000","30,000","190,000",43,34,5.3,21,46.8,Tecmo,Tecmo,M
Majin and the Forsaken Kingdom,X360,2010,Adventure,Namco Bandai Games,0.14,0.03,0,0.01,0.19,"140,000","30,000",0,"10,000","190,000",74,46,8.1,24,76.4,Game Republic,Game Republic,T
NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0,0,0.01,0.19,"180,000",0,0,"10,000","190,000",82,6,8.6,37,85.4,Visual Concepts,Visual Concepts,E
Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,0.17,0.01,0,0.01,0.19,"170,000","10,000",0,"10,000","190,000",73,13,7,6,72.1,Griptonite Games,Griptonite Games,E10+
Dante's Inferno,PSP,2010,Action,Electronic Arts,0.12,0.03,0.01,0.02,0.19,"120,000","30,000","10,000","20,000","190,000",70,14,8.1,46,78.4,"Artificial Mind and Movement, EA Redwood Shores","Artificial Mind and Movement, EA Redwood Shores",M
Namco Museum Megamix,Wii,2010,Misc,Namco Bandai Games,0.17,0,0,0.01,0.19,"170,000",0,0,"10,000","190,000",53,12,,,53.0,Namco Bandai Games,Namco Bandai Games,E
DanceDanceRevolution,PS3,2010,Simulation,Konami Digital Entertainment,0.12,0.05,0,0.02,0.19,"120,000","50,000",0,"20,000","190,000",60,5,,,60.0,Konami,Konami,E10+
Shaun White Skateboarding,PS3,2010,Sports,Ubisoft,0.11,0.05,0,0.03,0.19,"110,000","50,000",0,"30,000","190,000",61,26,6.5,8,61.9,Ubisoft Montreal,Ubisoft Montreal,T
Major League Baseball 2K10,PS3,2010,Sports,Take-Two Interactive,0.17,0,0,0.01,0.19,"170,000",0,0,"10,000","190,000",74,19,5.3,4,70.3,Visual Concepts,Visual Concepts,E
Arcania: Gothic 4,PC,2010,Role-Playing,JoWood Productions,0.09,0.08,0,0.02,0.19,"90,000","80,000",0,"20,000","190,000",63,25,4.4,307,45.4,Spellbound,Spellbound,T
SBK X: Superbike World Championship,X360,2010,Racing,Black Bean Games,0.1,0.07,0,0.02,0.19,"100,000","70,000",0,"20,000","190,000",74,13,8.3,8,77.4,Milestone S.r.l,Milestone S.r.l,E10+
CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft,0.11,0.05,0,0.02,0.18,"110,000","50,000",0,"20,000","180,000",39,5,5.6,13,51.3,Telltale Games,Telltale Games,M
Brunswick Pro Bowling,PS3,2010,Sports,505 Games,0.1,0.05,0,0.02,0.18,"100,000","50,000",0,"20,000","180,000",47,6,,,47.0,Farsight Studios,Farsight Studios,E
The Last Airbender,DS,2010,Action,THQ,0.13,0.04,0,0.01,0.18,"130,000","40,000",0,"10,000","180,000",69,6,7,4,69.4,THQ,THQ,E10+
World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,0.17,0,0,0.01,0.18,"170,000",0,0,"10,000","180,000",57,4,8.1,10,74.1,Big Ant Studios,Big Ant Studios,E
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,D3Publisher,0.1,0.06,0,0.02,0.18,"100,000","60,000",0,"20,000","180,000",51,5,5.3,4,51.9,Papaya Studios,Papaya Studios,E10+
Pure Futbol,X360,2010,Sports,Ubisoft,0.08,0.08,0,0.02,0.18,"80,000","80,000",0,"20,000","180,000",38,20,7.9,29,62.3,Ubisoft Vancouver,Ubisoft Vancouver,E
FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0,0.14,0,0.04,0.18,0,"140,000",0,"40,000","180,000",83,16,7.7,102,77.8,EA Sports,EA Sports,E
Lips: Party Classics,X360,2010,Misc,Microsoft Game Studios,0.05,0.11,0,0.02,0.18,"50,000","110,000",0,"20,000","180,000",69,10,,,69.0,iNiS,iNiS,T
Splatterhouse,X360,2010,Action,Namco Bandai Games,0.14,0.03,0,0.01,0.18,"140,000","30,000",0,"10,000","180,000",62,51,7.6,60,69.6,"Namco Bandai Games America, Namco Bandai Games","Namco Bandai Games America, Namco Bandai Games",M
Shaun White Skateboarding,Wii,2010,Sports,Ubisoft,0.13,0.03,0,0.01,0.18,"130,000","30,000",0,"10,000","180,000",59,6,,,59.0,Ubisoft Montreal,Ubisoft Montreal,E10+
How to Train Your Dragon,PS3,2010,Action,Activision,0.12,0.03,0,0.02,0.18,"120,000","30,000",0,"20,000","180,000",51,18,7,6,55.8,Etranges Libellules,Etranges Libellules,E10+
Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei,0.11,0.03,0.02,0.01,0.18,"110,000","30,000","20,000","10,000","180,000",65,27,7.8,20,70.5,Koei Tecmo Games,Koei Tecmo Games,T
Dead or Alive Paradise,PSP,2010,Misc,Ubisoft Annecy,0.07,0.02,0.07,0.02,0.18,"70,000","20,000","70,000","20,000","180,000",38,34,5.6,37,47.4,"Team Ninja, Tecmo","Team Ninja, Tecmo",M
Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010,Action,THQ,0.12,0.03,0,0.02,0.17,"120,000","30,000",0,"20,000","170,000",54,6,,,54.0,THQ,THQ,E10+
The Lord of the Rings: Aragorn's Quest,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.1,0.04,0,0.02,0.17,"100,000","40,000",0,"20,000","170,000",58,12,6,8,58.8,TT Fusion,TT Fusion,T
MotoGP 09/10,X360,2010,Racing,Capcom,0.07,0.09,0,0.02,0.17,"70,000","90,000",0,"20,000","170,000",69,41,5.7,41,63.0,Monumental Games,Monumental Games,E
CSI: Fatal Conspiracy,X360,2010,Adventure,Ubisoft,0.11,0.04,0,0.01,0.17,"110,000","40,000",0,"10,000","170,000",42,9,4.8,4,43.8,Telltale Games,Telltale Games,M
Disney Sing It: Family Hits,PS3,2010,Misc,Disney Interactive Studios,0.11,0.03,0,0.02,0.17,"110,000","30,000",0,"20,000","170,000",72,4,,,72.0,Disney Interactive Studios,Disney Interactive Studios,E
TRON: Evolution,DS,2010,Action,Disney Interactive Studios,0.11,0.04,0,0.01,0.17,"110,000","40,000",0,"10,000","170,000",58,5,,,58.0,n-Space,n-Space,E10+
Bakugan Battle Brawlers: Defenders of the Core,PS3,2010,Action,Activision,0.14,0.01,0,0.02,0.17,"140,000","10,000",0,"20,000","170,000",50,7,,,50.0,Now Production,Now Production,E10+
